"UC1";"MaaP";"UC1";"Utente sviluppatore";"L'utente sviluppatore può eseguire dei comandi per generare lo scheletro, inserire il file di descrizione, usare un editor specializzato per scrivere il file di descrizione, utilizzare il file di descrizione e modificare il file di configurazione";"Il sistema è installato e funzionante nel pc in uso";"Il sistema ha ottenuto le informazioni sulle operazioni che l'utente sviluppatore desidera eseguire";" "
"UC1.1";"Generazione scheletro";"UC1";"Utente sviluppatore";"L'utente sviluppatore può generare lo scheletro del progetto, il quale comprende: librerie e file di configurazione necessari al funzionamento dello stesso, directory di descrizione delle pagine web generate e il sistema di autenticazione per quest'ultime";"Il sistema è installato e funzionante nel pc in uso e permette all'utente sviluppatore di generare scheletro di un nuovo progetto";"Il sistema ha generato lo scheletro del progetto";" "
"UC1.2";"Utilizzo file di descrizione";"UC1.2";"Utente sviluppatore";"L'utente sviluppatore  può usare il file di descrizione per definire la visualizzazione della Collection utilizzando i template delle pagine web inseriti nel file di configurazione";"Il sistema ha generato lo scheletro del progetto e il file di descrizione deve essere stato inserito";"Il sistema contiene la descrizione per la visualizzazione della Collection";" "
"UC1.2.1";"Creazione visualizzazione Collection";"UC1.2.1";"Utente sviluppatore";"L'utente sviluppatore  può impostare la visualizzazione del menù delle Collection, delle pagine Collection-Index e Document-Show";"Il sistema contiene la descrizione per la visualizzazione della Collection predefinita e l'utente sviluppatore desidera crearne una nuova";"Il sistema ha creato una nuova descrizione per la visualizzazione della Collection";" "
"UC1.2.1.1";"Creazione visualizzazione menù";"UC1.2.1.1";"Utente sviluppatore";"L'utente sviluppatore può definire il nome della voce relativa alla Collection che verrà visualizzata e la posizione di questa nel menù delle Collection";"Il sistema contiene la descrizione della visualizzazione del menù predefinita. Nella definizione è specificato il nome della voce del menù corrispondente al nome della Collection e la posizione, la prima disponibile in ordine crescente";"Il sistema ha creato una nuova descrizione per la visualizzazione del menù delle Collection";" "
"UC1.2.1.1.1";"Definizione nome voce";"UC1.2.1.1";"Utente sviluppatore";"L'utente sviluppatore può definire il nome della voce relativa alla Collection nel menù delle Collection";"Il sistema contiene la descrizione per la visualizzazione del menù predefinita, nella quale il nome della voce del menù corrisponde al nome della Collection. L'utente desidera definire un nuovo nome per la voce";"Il sistema contiene la descrizione per la visualizzazione del menù, nella quale il nome della voce del menù corrisponde al nome della Collection definita dall'utente sviluppatore";" "
"UC1.2.1.1.2";"Definizione posizione voce";"UC1.2.1.1";"Utente sviluppatore";"L'utente può definire la posizione della voce relativa al nome della Collection all'interno del menù delle Collection";"Il sistema contiene la descrizione per la visualizzazione del menù predefinita, nella quale la posizione \'e la prima disponibile in ordine crescente. L'utente sviluppatore desidera specificare la posizione della voce";"Il sistema contiene la descrizione per la visualizzazione del menù, nella quale la posizione della voce nel menù è definita dall'utente sviluppatore";" "
"UC1.2.1.2";"Creazione visualizzazione pagina Collection-Index";"UC1.2.1.2";"Utente sviluppatore";"L'utente sviluppatore  può creare una descrizione per la visualizzazione della pagina Collection-Index e aggiungere varie specifiche al suo interno";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita";"Il sistema ha creato la descrizione per la visualizzazione della pagina Collection-Index con le specifiche aggiunte";" "
"UC1.2.1.2.1";"Aggiunta chiave";"UC1.2.1.2.1";"Utente sviluppatore";"L'utente sviluppatore può aggiungere una chiave alla definizione della visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con la chiave aggiunta dall'utente sviluppatore";" "
"UC1.2.1.2.1.1";"Definizione etichetta chiave";"UC1.2.1.2.1";"Utente sviluppatore";"L'utente sviluppatore può definire un'etichetta per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita, nella quale non è specificata nessuna etichetta per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con l'etichetta relativa alla chiave da visualizzare";" "
"UC1.2.1.2.1.2";"Definizione campo associato alla chiave";"UC1.2.1.2.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.2.1.3";"Definizione campo associato alla chiave proveniente da un documento esterno";"UC1.2.1.2.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare, proveniente da un documento esterno";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.2.1.4";"Definizione campo associato alla chiave proveniente dal risultato di una query";"UC1.2.1.2.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare, proveniente dal risultato di una query";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare, la query deve essere definita";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.2.1.5";"Definizione campo associato alla chiave come trasformazione";"UC1.2.1.2.1";"Utente sviluppatore";"L'utente sviluppatore può definire un campo associato alla chiave da visualizzare come trasformazione Javascript";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita, nella quale non è specificato nessun campo per la chiave da visualizzare";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il campo associato alla chiave da visualizzare";" "
"UC1.2.1.2.2";"Definizione ordinamento per chiave";"UC1.2.1.2";"Utente sviluppatore";"L'utente sviluppatore  può  definire un ordinamento, alfabetico crescente o decrescente, rispetto ad una chiave nella definizione della visualizzazione della pagina Collection-Index";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index predefinita, nella quale non è presente alcun ordinamento per chiave definito dall'utente";"Il sistema contiene la descrizione per la visualizzazione della pagina Collection-Index aggiornata con il nuovo ordinamento per chiave definito dall'utente sviluppatore";" "
